#{"t_start": 1632061863.41779, "env_id": null}
r,l,t
561,34,0.108396
435,30,0.16229
780,40,0.234778
300,25,0.280626
325,26,0.328114
1275,51,0.418971
1225,50,0.509828
1128,48,0.596908
276,24,0.642109
703,38,0.714362
630,36,0.77926
435,30,0.834296
666,37,0.900596
496,32,0.992499
630,36,1.057968
630,36,1.123223
1081,47,1.207974
793.0,107,1.397341
427.0,116,1.602332
-1586.0,201,1.956244
378,28,2.006358
274.5,124,2.225962
792.0,111,2.424353
1431,54,2.522153
465,31,2.580742
-7625.0,421,3.317412
1128,48,3.404815
-976.0,175,3.755337
-30.5,139,4.00173
300,25,4.047204
210,21,4.087266
561,34,4.148748
274.5,122,4.365331
244.0,131,4.597322
406,29,4.650706
703,38,4.720257
-823.5,167,5.016025
435,30,5.07202
861,42,5.148878
-396.5,156,5.424063
-488.0,159,5.706245
595,35,5.770973
105,15,5.798897
78,13,5.822716
66,12,5.845166
435,30,5.899234
78,13,5.923395
945.5,103,6.107081
666,37,6.173746
276,24,6.216714
-122.0,144,6.520943
595,35,6.584578
66,12,6.607068
457.5,119,6.817689
274.5,124,7.038259
-4716.0,335,7.623749
406,29,7.677058
671.0,109,7.870535
325,26,7.918599
-152.0,148,8.179252
-2989.0,254,8.625297
61.0,131,8.856474
210,21,8.894607
1128,48,8.982608
66,12,9.005446
300,25,9.05096
-4132.0,294,9.638026
105,15,9.665619
-396.5,156,9.941984
1326,52,10.036469
396.0,125,10.258557
1225,50,10.349337
-640.5,158,10.626869
210,21,10.666206
406,29,10.719804
861,42,10.79614
666,37,10.864338
1431,54,10.962067
276,24,11.006162
274.5,128,11.232442
276,24,11.277007
671.0,112,11.475615
435,30,11.530433
210,21,11.569054
1035,46,11.651794
-7581.0,424,12.393086
-793.0,165,12.684827
122.0,127,12.983965
325,26,13.03176
1281.0,85,13.18248
990,45,13.264884
946,44,13.345917
213.5,130,13.576085
253,23,13.617749
793.0,108,13.810175
465,31,13.866618
378,28,13.917014
741,39,13.988482
1128,48,14.074563
-3782.0,287,14.579008
